K,C,Y,X,R,S,sp1,spC2,spC4,spC8,scC16,spW2,spW4,spW8,spW16
64,3,224,224,3,3,0,0,0,0,0,0,0,0,0
64,64,224,224,3,3,0.443106544261076,0.204904478423449,0.0558473236706792,0.00793495956732302,3.11403858418367E-06,0.385970933096749,0.325915317146145,0.274236173045878,0.222262479821029
128,64,112,112,3,3,0.332759234370017,0.121265099973094,0.0152877496213329,0.000752351721938775,0,0.230097634451729,0.157414494728555,0.104808573820153,0.064483642578125
128,128,112,112,3,3,0.572489290821309,0.338660532114457,0.112295111831353,0.01473111522441,0.000173140545280612,0.461063385009765,0.327931073247169,0.207404467524314,0.117688237404336
256,128,56,56,3,3,0.437043949049346,0.197709064094387,0.0428946358816964,0.00496751434948979,7.72281568877551E-05,0.276753172582509,0.141639553770727,0.059326171875,0.0260028449856505
256,256,56,56,3,3,0.652280262538364,0.427853097721022,0.185082883250956,0.0358497463926977,0.00166040537308673,0.536445384122887,0.383324136539381,0.229151200275031,0.125304864377391
256,256,56,56,3,3,0.685165171720543,0.47163422253667,0.229287906568877,0.0558723916812818,0.00381033761160714,0.575775457888233,0.418462636519451,0.24813344527264,0.128710376973054
512,256,28,28,3,3,0.641922619878029,0.419308409398915,0.187158078563456,0.0446939273756377,0.0051219706632653,0.496318894989636,0.31933780592315,0.178357805524553,0.061408840880102
512,512,28,28,3,3,0.78946794782366,0.62581105134925,0.398956298828125,0.166662722217793,0.0310868243781887,0.703690509406887,0.567290014150191,0.417586346061862,0.23445752202248
512,512,28,28,3,3,0.814759079290896,0.665869420888472,0.448864995216836,0.212052325813137,0.0515485491071428,0.743531674754862,0.625377110072544,0.485837352519132,0.296299837073501
512,512,14,14,3,3,0.790726642219387,0.630524304448341,0.406768176020408,0.183825434470663,0.0479213169642857,0.69315260283801,0.56806976941167,0.382724061304209,0.204153878348214
512,512,14,14,3,3,0.808275183852838,0.655325753348214,0.43343804807079,0.192362882653061,0.0414939413265306,0.736161212531887,0.634827905771683,0.473185636559311,0.30523681640625
512,512,14,14,3,3,0.810592651367187,0.659123634805484,0.43917535275829,0.203536053093112,0.0525649713010204,0.751703379105548,0.665881098533163,0.524327492227359,0.364689418247767
